City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,quelimane,-17.8786,36.8883,22.97,83,0,0.51,MZ,1669938574
358,minab,27.1467,57.0801,20.18,83,31,0.0,IR,1669938545
359,vao,-22.6667,167.4833,26.04,86,97,9.62,NC,1669938574
360,champerico,14.3,-91.9167,30.3,78,63,1.9,GT,1669938574
361,bonavista,48.6499,-53.1147,6.39,85,100,18.58,CA,1669938575
362,bubaque,11.2833,-15.8333,27.56,63,59,7.09,GW,1669938575
363,ambon,-3.6954,128.1814,28.08,78,20,1.54,ID,1669938575
364,karratha,-20.7377,116.8463,30.52,38,64,5.78,AU,1669938575
365,cagli,43.5457,12.6527,7.12,87,0,1.03,IT,1669938576
366,mount gambier,-37.8333,140.7667,18.51,49,6,2.44,AU,1669938576
367,kaitangata,-46.2817,169.8464,10.26,74,50,5.68,NZ,1669938576
368,mountain home,43.133,-115.6912,1.71,87,100,9.77,US,1669938576
369,sabzevar,36.2126,57.6819,6.6,65,20,5.14,IR,1669938577
370,rapid city,44.0805,-103.231,12.61,37,0,5.66,US,1669938577
371,urdoma,61.7533,48.5442,-8.17,96,100,1.31,RU,1669938577
372,vidim,56.4088,103.1106,-22.21,94,100,3.29,RU,1669938577
373,richards bay,-28.783,32.0377,20.85,79,89,6.49,ZA,1669938577
374,klaksvik,62.2266,-6.589,10.51,96,100,13.78,FO,1669938577
375,san vicente,-26.6167,-54.1333,19.33,86,87,1.44,AR,1669938577
376,guerrero negro,27.9769,-114.0611,16.61,67,2,5.88,MX,1669938578
377,dongkan,33.9997,119.8308,0.12,33,63,1.41,CN,1669938578
378,ust-maya,60.4167,134.5333,-32.23,99,100,0.74,RU,1669938578
379,usumatlan,14.95,-89.7833,26.81,88,22,2.24,GT,1669938578
380,vyshkov,52.4764,31.6873,-1.83,82,100,4.63,RU,1669938578
381,arlit,18.7369,7.3853,22.64,18,100,2.14,NE,1669938578
382,clarence town,-32.5833,151.7833,21.95,48,100,4.46,AU,1669938578
383,sinnamary,5.3833,-52.95,25.35,87,67,4.4,GF,1669938578
384,kirando,-7.4167,30.6,21.28,86,100,2.79,TZ,1669938579
385,boddam,57.4667,-1.7833,7.21,93,100,9.94,GB,1669938579
386,vostok,46.4856,135.8833,-21.83,92,84,2.78,RU,1669938579
387,port-gentil,-0.7193,8.7815,26.98,89,20,5.14,GA,1669938579
388,smirnykh,49.75,142.8333,-14.12,80,83,3.72,RU,1669938450
389,turukhansk,65.8167,87.9833,-17.31,98,100,3.18,RU,1669938580
390,dhadar,28.3305,75.0632,15.09,28,70,1.88,IN,1669938580
391,port macquarie,-31.4333,152.9167,20.5,79,100,6.37,AU,1669938580
392,waipawa,-41.4122,175.5153,10.25,88,98,4.51,NZ,1669938580
393,nikolayevsk-na-amure,53.1406,140.73,-23.61,89,11,1.83,RU,1669938580
394,kalmunai,7.4167,81.8167,24.71,87,94,1.31,LK,1669938580
395,athabasca,54.7169,-113.2854,-24.77,96,80,1.76,CA,1669938580
396,neka,36.6508,53.299,10.73,100,100,3.09,IR,1669938580
397,hambantota,6.1241,81.1185,24.43,87,73,3.32,LK,1669938580
398,mackay,-21.15,149.2,26.49,64,100,5.6,AU,1669938581
399,labuhan,-6.8844,112.2051,25.95,76,99,6.18,ID,1669938581
400,geraldton,-28.7667,114.6,21.23,64,40,6.17,AU,1669938581
401,omsukchan,62.5333,155.8,-24.32,100,99,2.94,RU,1669938581
402,tahoua,14.8888,5.2692,21.44,21,8,4.8,NE,1669938581
403,maicao,11.3832,-72.2432,24.25,81,5,2.33,CO,1669938581
404,camacha,33.0833,-16.3333,16.68,77,40,6.69,PT,1669938581
405,kieta,-6.2167,155.6333,27.81,81,96,2.42,PG,1669938581
406,coahuayana,18.7333,-103.6833,27.24,72,21,1.77,MX,1669938582
407,andenes,69.3143,16.1194,3.85,93,100,2.06,NO,1669938582
408,tautira,-17.7333,-149.15,26.11,81,80,7.31,PF,1669938582
409,esso,55.9333,158.7,-16.19,94,52,1.66,RU,1669938582
410,dubbo,-32.25,148.6167,22.07,46,0,7.2,AU,1669938582
411,sao joao da barra,-21.6403,-41.0511,24.05,91,100,8.34,BR,1669938583
412,atambua,-9.1061,124.8925,26.67,65,58,0.49,ID,1669938583
413,malartic,48.1335,-78.1328,-8.94,80,97,3.92,CA,1669938583
414,gat,31.61,34.7642,16.33,68,0,2.0,IL,1669938584
415,makakilo city,21.3469,-158.0858,28.18,57,20,5.14,US,1669938584
416,shiraz,29.6036,52.5388,7.69,71,20,0.0,IR,1669938314
417,bosaso,11.2842,49.1816,23.78,81,4,1.39,SO,1669938584
418,remanso,-9.6179,-42.0831,24.97,77,99,1.97,BR,1669938584
419,alibag,18.6411,72.8792,23.04,49,7,2.35,IN,1669938584
420,masty,53.4122,24.5387,-9.64,95,64,2.25,BY,1669938584
421,mahebourg,-20.4081,57.7,23.16,78,75,2.06,MU,1669938585
422,cocorit,27.5833,-109.9667,26.9,21,3,2.91,MX,1669938585
423,morehead,37.2711,-87.1764,3.3,55,0,0.0,US,1669938585
424,ndele,8.4109,20.6473,26.36,44,91,0.74,CF,1669938585
425,kirksville,40.1948,-92.5833,4.47,45,75,6.17,US,1669938585
426,srednekolymsk,67.45,153.6833,-32.56,92,79,4.05,RU,1669938585
427,thinadhoo,0.5333,72.9333,26.98,71,46,2.6,MV,1669938585
428,karpathos,35.507,27.2132,17.98,77,6,4.63,GR,1669938586
429,itoman,26.1247,127.6694,19.01,80,75,8.23,JP,1669938586
430,cozumel,20.5083,-86.9458,27.82,84,9,5.81,MX,1669938586
431,pafos,34.7667,32.4167,14.88,77,75,2.57,CY,1669938586
432,hovd,48.0056,91.6419,-19.22,64,92,1.49,MN,1669938586
433,macklin,52.3334,-109.9348,-23.81,99,100,2.07,CA,1669938586
434,mikuni,36.2171,136.1519,6.95,62,100,6.05,JP,1669938587
435,mehamn,71.0357,27.8492,0.97,100,100,3.09,NO,1669938587
436,nago,26.5881,127.9761,18.47,76,100,8.17,JP,1669938587
437,swan hill,-35.3378,143.5544,23.58,44,0,2.99,AU,1669938587
438,simao,22.7886,100.9748,13.64,99,71,0.43,CN,1669938587
439,jaguaruna,-28.615,-49.0256,22.72,93,95,5.23,BR,1669938587
